Project # (internal) ,Title,Activity area,Programme,Staff Project Lead,Short Description,Long Description,Outcomes ,Links,Partners,Other Staff Involved,Tags
,Agreement with the United Nations Economic Commission for Africa [YB notes: this is not an activity..it is a new partnership…with Activities hopefully coming soon],Capacity Building,,,Supporting Africa’s 2063 Agenda that includes enabling sustainable blue economies and  the responsible extraction of geological resources.,"In first half of 2016, GRID-Arendal become an official partner of the United Nations Economic Commission for Africa (UNECA). The commission operates via the ministries of finance and development of member states to the African Union. This new relationship with another UN agency will allow GRID-Arendal to deploy its existing expertise to different country focal points and facilitate inter-UN agency collaboration. A new agreement between the commission and GRID-Arendal will focus initially on enhancing responsible extraction of geological resources and help address climate change and water management. It will also develop a Blue Economy Programme with special focus on capacity building, innovation, communication through creation of tailor-made networks and labs aimed to sustain the development and implementation of blue economy policy frameworks at all levels. 

This new relationship involves support for UNECA’s Africa Mineral Development Centre. In June 2016, a senior officer from the centre spent three days working in Arendal. GRID is also helping to develop ideas around seabed and spatial planning and small-scale mining.",,,United Nations Economic Commission for Africa (UNECA)’s Africa Mineral Development Centre,,"Africa,"
,Peace building and Law of the Sea in West African waters,Capacity Building,Ocean Governance and Geological Resources,,This initiative builds on a 2014 joint submission to the United Nations to extend their continental shelves beyond the current limit of 200 nautical miles.,"The Norwegian Ministry of Foreign Affairs has informed GRID-Arendal that it will continue support for West African countires awaiting a decision on their historic continental shelf submissions at the United Nations. This initiative builds on a 2014 joint submission to the United Nations to extend their continental shelves beyond the current limit of 200 nautical miles. With the help of GRID-Arendal, the countries of Cabo Verde, Gambia, Guinea, Guinea Bissau, Mauritania, Senegal and Sierra Leone developed the first joint continental boundary submission in UN history. It followed a decade of collaboration between these countries and GRID-Arendal, the Norwegian Petroleum Directorate and the Norwegian Ministry of Foreign Affairs. The joint submission was a concrete example of how countries with competing interests and claims can work together to find a peaceful solution to jurisdictional disputes. ",,,,,"West Africa,"
,Peace building and Law of the Sea in the Pacific Ocean,Capacity Building,Ocean Governance and Geological Resources,,This project works with 14 Pacific Islands Countries to finalise extended continental shelf boundaries. ,"Like our initiative in West Africa, this work is important because it will allow countries to develop more cooperative ways to govern their ocean territories. By using regional marine geospatial data these countries will secure rights over their maritime jurisdiction and resources by defining maritime boundaries in accordance with international law. Modern national legislative frameworks will be developed and technical personnel will be trained in marine spatial planning and improved mapping techniques.",,,,,"Marine, Pacific"
,Environmental Assessment Guidelines - a writing marathon [YB notes: this will end in Feb 2017],Environmental assessment,State of the Environment and Spatial Planning,,"GRID-Arendal is managing the development of updated Integrated Enviromental Assessment guidelines for the United Nations Environment Programme. 
","Working with colleagues at UN Environment, GRID-Aredal organized a group of international experts who took part in a “book spring” in Arendal in May. During this week-long writing marathon, the group gathered in a room and produced XXX pages of draft guidleines. The final product will go through extensive review before being released in early 2107.",,,,,
205214,Supporting International Environmental Agreements - UNEP Regional Seas  [YB note: I would combine Teheran and Abidjan… both are UNEP Regional Seas],,"Transboundary Waters, State of the Environment and Spatial Planning",,"Support is being provided to the Tehran Convention Secretariat to contributes to peace and security in the Caspian region.                          
 Helping the Abidjan Convention protect the marine environment along 14,000 kilometres of coastline. ","GRID-Arendal has a long history of supporting international environmental agreements. One of our continuing activities involves supporting the work of the Framework Convention for the Protection of the Marine Environment of the Caspian Sea, the Tehran Convention – the Tehran Convention. The convention was signed by Azerbaijan, Iran, Kazakhstan, Russia and Turkmenistan and focuses on the protection of the marine environment and the livelihoods, health and well-being of present and future generations around the Caspian Sea.

The Caspian Sea is the largest enclosed water body on Earth. It has a unique ecosystem with 400 endemic species facing a number of threats, including coastal zone degradation, habitat destruction and pollution from oil and gas production. Hailed by the United Nations as a major contribution to peace and stability in the region, the five states are using it to implement national action plans based on a common strategy. This regional cooperation process has been managed on an interim basis by UN Environment (formerly the United Nations Environment Programme, UNEP). To succeed, the regional cooperation process requires a stable secretariat and an established institutional implementation network. GRID-Arendal assists with monitoring, assessment, reporting, information exchange, networking, research, and environmental management and administration related work. The Convention Secretariat will become permanent this year and GRID-Arendal’s support is expected to be formalised.                                                                                                          The Convention on the Cooperation in the Protection, Management, and Development of the Marine and Coastal Environment of the Atlantic Coast of the West, Central and Southern African Region (Abidjan Convention) came into force in 1984 and covers the coastal area of 22 countries – from Mauritania in the north to South Africa – along 14,000 kilometres of coastline. 

Ecosystem-based Management is an approach that aims at managing coastal and marine environments along ecological boundaries. It assumes the marine environment includes humans and looks at the values healthy ecosystems provide to people. Known as “ecosystem services” these values can be both monetary and non-monetary. This approach helps raise awareness of the importance of ecosystems ito development, as well as to inform trade-offs, planning and decision-making. In this context, it is important to provide information on the opportunities of ecosystem services recognition, as well as the costs of failing to do so. 

GRID-Arendal assists in developing skills needed to ensure that ecosystem-based management, and how to determine the value of ecosystems to people, is included in policy making. Based on the three socio-economic assessment developed for three Large Marine Ecosystem in the region, a synthesis report will highlight on the value of marine and coastal ecosystems and recommend next steps.  
",The quality of the marine environment of the Caspian Sea will be preserved and sustainable development supported in the Caspian Sea region by supporting a Convention process that functions well and allows the right decisions to be made that supports regional cooperation that fulfils the five countries’ obligations under under the Tehran Convention. ,,,,"UNEP,"
,The Mamiwata Project,Capacity building,"Ecosystems, Economies and SDGs",,"Using a model developed in other regional work, Mamiwata will use three case studies focussed on integrated ocean management in West Africa.  
","The Mamiwata project provides technical and institutional support, training-of-trainers and peer learning-based capacity building for national and local planners, decision-makers and practitioners in development planning, marine spatial planning, fisheries, aquaculture, tourism and agriculture. The secondary target group is representatives from non-governmental and private sector. 

Using a couple of pilot studies, this project will increase capacities and regional cooperation so they contribute to the enhanced management of marine biodiversity and natural resources of the ocean area of the Abidjan Convention. ",,,,,"Africa,"
,European Marine Observation and Data Network (EMODnet) [YB note: get Miles to complete],Environmental assessment,State of the Environment and Spatial Planning,,GRID-Arendal  is producing a second updated version of the Norwegian Sea bathymetric map using new data sources. ,"Bathymetry is the measurement of the depth of a sea or other waters. The EMODNet Bathymetry project is funded by the European Union to create a standard “bathymetric surface” for all European waters. GRID-Arendal is coordinating development of a “digital terrain model” (DTM) for the Norwegian Sea (Including Icelandic Sea) for inclusion in the EMODNET Hydrography Portal, a site for harmonized data on the depth of European waters. 

GRID-Arendal is coordinating existing data providers and identifying potential new sources. It is also producing the Norwegian Sea DTM to required specifications to be included in the EMODNet portal.",,,,,"Europe,"
,Environmental Crime ,Capacity building,Environmental Crime,,"GRID Arendal's Environmental Crime Programme focuses on five sectors: logging, fisheries, mining, transportation and dumping of toxic waste, and wildlife and plant poaching.","Transnational organized environmental crime is a growing threat to the state security. It increases corruption and is linked to other criminal activities such as arms and drug smuggling, and human trafficking. It is a threat to the environment and sustainable development, as well as to national economies because it cuts into revenues from natural resources. 

Among other activities, GRID-Arendal is working with a number of partners in testing methods of using satellite monitoring to track criminal activities. A project called MASTREC - for MArine and coastal satellite Services to TRack Environmental Crime activities - demonstrates how earth observation can be used to monitor potential illegal activities on the east coast of Africa. Historical Earth observation data (radar and optical) has been developed for Somalia/Middle East and Madagascar. The preliminary analysis between East Africa and Middle East has produced a list of 20 vessels of interest, possible loading/unloading areas, and a potential transhipment area along Omani coast far from harbours where illegal waste could be moving. Use of satellites to help combat illegal fishing is of great interest and GRID-Arendal discussing other potential uses with its partners. 

Other assessments are on environmental crime continue to be developed, including one on illegal logging and trade in forest products and sturgeon poaching in the Caspian Sea -- both in the Russian Federation. A story map is being developed that looks at the paths that plastic waste – legal and illegal – travels from consumers to its final destination. Some of the information in this story comes from other work GRID-Arendal has done on plastics in the marine environment. UN Environment will be using material from a preliminary report called “Digging it up: The cost of illegal mining” in an environmental crime report due in mid-2017. GRID-Arendal is assisting the Norwegian Ministry of Foreign Affairs with briefings on issues related to environmental crime and conflict, along with advising specifically on the development of the new Norwegian programme on information and analysis for development, peace and security.  ",,,,,
,Polar & Mountain Environments [YB note: this is a Programme…not sure what you want here…Bjorn can fill in maybe?],Supporting UN Environment,Polar & Mountain Environments,,,"GRID-Arendal houses UN Environment’s Polar Centre of Excellence. Recognizing there are many similarities between the poles and high mountain regions, like the Himalayas, we focus on changes in the regions covered by ice and snow. These regions are the planet’s barometer and tell us a great deal about the present and future effects of climate change.  GRID-Arendal works to draw attention to some of the most critical environmental and climatic challenges facing these regions, providing policy makers with the latest scientific evidence on climate change and options for adaptation. ",,,,,
,Himalayan Climate Change Adaptation Programme (HICAP),Supporting UN Environment; capacity development,Polar & Mountain Environments,,"HICAP aims to help enhance the resilience of mountain people, particularly women, by improving the understanding of vulnerability to change and identifying opportunities and potential for adaptation. ","GRID-Arendal works with a number of partners on mountain issues. Our main collaboration is with the International Centre for Integrated Mountain Develoment  (ICIMOD) based in Kathmandu and the Center for International Climate and Environmental Research – Oslo (CICERO). This collaboration has produced a lot of ground-breaking work that has examined the state of the Himalayan region, its changing climate and the effect that is having on the region’s people. Among the most important achievesments are the development of the Himalayan Climate and Water Atlas. Besides research and reports, the three partners have worked with UN Environment at the 2016 UN Environmental Assembly in Nairobi to lay the groundwork for a declaration signed by countries with mountain regions that establishes a new partnership to implement the Sustainable Development Goals the nations of the world agreed to in 2015. 

An important part of HICAP is turning the knowledge acquired through the programme into a format that can be used by policy makers. Several short policy briefs have been developed for specific countries and that work is continuing with examinations of the situation in Pakistan and India in collaboration with partners in those countries. 

A report titled “Payment for Ecosystem Services in the Himalayas: A Cookbook for Emerging PES Practitioners” is about to be launched. (PES are incentives to farmers, land owners and managers, similar to subsidies and taxes, designed to encourage the conservation of natural resources.) The cookbook will provide the first comprehensive, easily accessible guide to developing PES systems in the Himalayas. 

GRID-Arendal, UN Environment and ICIMOD also produce reports on the state of mountain environments around the world. Reports have been done for the Western Balkans, Central Asia, East Africa, tropical Andes and Southern Caucasus. Still to come is a report on the Hindu Kush Himalayan region.  

Finally, a Global Mountain Waste Management Outlook is being prepared that will highlight waste challenges and opportunities in the world’s mountainous regions, with a focus on developing regions. The report was commissioned by the International Environment Technology Centre in Japan and will examine urban, rural, industrial and tourism waste management issues. GRID-Arendal and UNEP-Vienna are organising a side event at the World Mountain Forum in Uganda in December where the draft will be reviewed.","High-quality science is produced and disseminate through international peer reviewed journals and tailored knowledge products. Policy makers are engaged at national, regional and global events and stakeholder dialogues. Hands-on media engagement is promoted through journalist training and grant programmes.   Performance indicators are quite broad and not necessarily limited to GA’s ",,,,
